Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
1/23/2023,138.12,143.32,137.9,141.11,81760313,2.99,2.16,140.1125
1/24/2023,140.31,143.16,140.3,142.53,66435142,2.22,1.58,141.575
1/25/2023,140.89,142.43,138.81,141.86,65799349,0.97,0.68848,140.9975
1/26/2023,143.17,144.25,141.9,143.96,54105100,0.79,0.55179,143.32
1/27/2023,143.16,147.23,143.08,145.93,70555843,2.78,1.93,144.85
1/30/2023,144.96,145.55,142.85,143,64015300,-1.96,-1.35,144.09
1/31/2023,142.7,144.34,142.28,144.29,65874500,1.59,1.11,143.4025
2/1/2023,143.97,146.61,141.32,145.43,77663633,1.46,1.01,144.3325
2/2/2023,148.9,151.18,148.17,150.82,118339000,1.92,1.29,149.7675
2/3/2023,148.03,157.38,147.83,154.5,154357337,6.47,4.37,151.935
2/6/2023,152.57,153.1,150.78,151.73,69858306,-0.845,-0.55057,152.045
2/7/2023,150.64,155.23,150.64,154.65,83322600,4.01,2.66,152.79
2/8/2023,153.88,154.58,151.17,151.92,64120100,-1.96,-1.27,152.8875
2/9/2023,153.78,154.33,150.42,150.87,56007143,-2.91,-1.89,152.35
2/10/2023,149.46,151.34,149.22,151.01,57450708,1.55,1.04,150.2575
2/13/2023,150.95,154.26,150.92,153.85,62199013,2.9,1.92,152.495
2/14/2023,152.12,153.77,150.86,153.2,61707600,1.08,0.70997,152.4875
2/15/2023,153.11,155.5,152.88,155.33,65669252,2.22,1.45,154.205
2/16/2023,153.51,156.33,153.35,153.71,68167942,0.2,0.13028,154.225
2/17/2023,152.35,153,150.85,152.55,59144118,0.2,0.13128,152.1875
2/21/2023,150.2,151.3,148.41,148.48,58867230,-1.72,-1.15,149.5975
2/22/2023,148.87,149.95,147.16,148.91,51011305,0.04,0.02686908,148.7225
2/23/2023,150.09,150.34,147.24,149.4,48394249,-0.69,-0.45972,149.2675
2/24/2023,147.11,147.19,145.72,146.71,55469606,-0.4,-0.27191,146.6825
2/27/2023,147.71,149.17,147.45,147.92,44998500,0.21,0.14217,148.0625
2/28/2023,147.05,149.08,146.83,147.41,50547000,0.36,0.24481,147.5925
3/1/2023,146.83,147.23,145.01,145.31,55479000,-1.52,-1.04,146.095
3/2/2023,144.38,146.71,143.9,145.91,52279761,1.53,1.06,145.225
3/3/2023,148.04,151.11,147.33,151.03,70732300,2.99,2.02,149.3775
3/6/2023,153.79,156.3,153.46,153.83,87558028,0.045,0.02600949,154.345
3/7/2023,153.7,154.03,151.13,151.6,56182028,-2.1,-1.37,152.615
3/8/2023,152.81,153.47,151.83,152.87,47204800,0.06,0.03926445,152.745
3/9/2023,153.56,154.54,150.23,150.59,53833600,-2.97,-1.93,152.23
3/10/2023,150.21,150.94,147.61,148.5,68572400,-1.71,-1.14,149.315
3/13/2023,147.81,153.14,147.7,150.47,84457122,2.66,1.8,149.78
3/14/2023,151.28,153.4,150.1,152.59,73695900,1.31,0.86594,151.8425
3/15/2023,151.19,153.25,149.92,152.99,77167900,1.8,1.19,151.8375
3/16/2023,152.16,156.46,151.64,155.85,76254419,3.69,2.43,154.0275
3/17/2023,156.08,156.74,154.28,155,98944633,-1.08,-0.69195,155.525
3/20/2023,155.07,157.82,154.15,157.4,73641415,2.33,1.5,156.11
3/21/2023,157.32,159.4,156.54,159.28,73938300,1.96,1.25,158.135
3/22/2023,159.3,162.14,157.81,157.83,75701811,-1.47,-0.92279,159.27
3/23/2023,158.83,161.55,157.68,158.93,67622100,0.1,0.0629604,159.2475
3/24/2023,158.86,160.34,157.85,160.25,59256343,1.39,0.87498,159.325
3/27/2023,159.94,160.77,157.87,158.28,52390300,-1.66,-1.04,159.215
3/28/2023,157.97,158.49,155.98,157.65,45992200,-0.32,-0.20257,157.5225
3/29/2023,159.37,161.05,159.35,160.77,51305700,1.4,0.87846,160.135
3/30/2023,161.53,162.47,161.27,162.36,49501700,0.83,0.51384,161.9075
3/31/2023,162.44,165,161.91,164.9,68749800,2.46,1.51,163.5625
4/3/2023,164.27,166.29,164.22,166.17,56976200,1.9,1.16,165.2375
4/4/2023,166.6,166.84,165.11,165.63,46278300,-0.965,-0.58223,166.045
4/5/2023,164.74,165.05,161.8,163.76,51511744,-0.98,-0.59488,163.8375
4/6/2023,162.43,164.96,162,164.66,45390123,2.23,1.37,163.5125
4/10/2023,161.42,162.03,160.08,162.03,47716900,0.61,0.3779,161.39
